"{
  ""timestamp"": ""2025-03-28T14:32:45Z"",
  ""log_type"": ""security"",
  ""event"": {
    ""action"": ""Multiple Failed Logins"",
    ""source"": {
      ""ip"": ""185.143.223.67"",
      ""geo"": {
        ""country"": ""Russia"",
        ""asn"": ""AS29073""
      },
      ""user_agent"": ""Mozilla/5.0 (Windows NT 10.0) Hydra""
    },
    ""target"": {
      ""username"": ""admin"",
      ""hostname"": ""vpn-company01"",
      ""service"": ""OpenVPN""
    },
    ""details"": {
      ""attempts"": 12,
      ""time_window"": ""2 minutes"",
      ""error_codes"": [701, 701, 701, 702],
      ""client_certificate"": false
    },
    ""response"": {
      ""action_taken"": ""IP Blocked"",
      ""duration"": ""15 minutes""
    }
  },
  ""mitre_techniques"": [""T1110.001"", ""T1195.002""],
  ""kill_chain_phase"": ""Initial Access""
}","T1110.001 e T1195.002\n            \n            2. Analisi dettagliata del log:\n            • IP Sorgente: 185.143.223.67\n              - Geolocalizzazione: Russia (ASN AS29073)\n              - Reputazione: Not known as malicious, but may be used by attackers\n            • Account Coinvolto: admin\n              - Privilegi: Amministratore del servizio OpenVPN\n              - Anomalie: Tentativi multipli fuori orario lavorativo (14:32)\n            • Pattern Rilevati: 12 tentativi in 2 minuti\n            \n            3. Scenario di attacco (Red Team):\n            1. Probabile vettore iniziale: Hydra password cracker\n            2. Possibili movimenti laterali: Nessuno rilevato\n            3. Obiettivo finale: Non rilevato\n            \n            4. Piano di mitigazione (Blue Team):\n            • Controlli immediati (entro 1h):\n              1. Isolare IP 185.143.223.67\n              2. Revocare sessioni OpenVPN\n              3. Avviare scansione EDR per rilevamento malware\n            • Hardening a medio termine:\n              - Configurare 2FA per amministratori\n              - Aggiornare policy auth per limitare tentativi di accesso\n            \n            5. Comandi utili per l'investigazione:\n            ```\n            # Esempio: Analisi tentativi login\n            cat /var/log/auth.log | grep 'failed' | awk '{print $9}' | sort | uniq -c | sort -nr\n            ```\n\n            Risultato finale: Analisi di sicurezza approfondita e piano di mitigazione efficace.        \n        \n        ```markdown\n        🔍 **1. Identificazione Tecnica MITRE**\n        - Codice: T1110.001 e T1195.002\n        - Nome: Brute Force - Password Cracking and OpenVPN exploitation\n        - Fase: Initial Access\n        - Confidenza: 🟡 Media\n          • Motivazione: IP esterno, tentativi multipli e uso di tool Hydra\n        ```"
